BearID,year,sex,birth,age,reprostatus.represent,C13.suess,N15,weight,headcirc,Cmonth
W0001,1999,M,1997,3,SolitaryM,-23.082,5.02,94,57,4
W0002,1999,M,1994,6,SolitaryM,-23.162,5.13,130,67,4
W0002,2000,M,1994,7,SolitaryM,-22.89,5.47,148,74,4
W0003,1999,M,1997,3,SolitaryM,-23.042,4.56,63,48.5,4
W0004,1999,F,1994,6,WithCubs,-22.762,4.62,95,59,4
W0004,2001,F,1994,8,WithCubs,-22.838,4.27,86,60,4
W0004,2003,F,1994,10,WithCubs,-22.954,4.02,95,62,4
W0004,2005,F,1994,12,WithCubs,-23.04,4.47,95,64,5
W0004,2007,F,1994,14,WithCubs,-23.076,4.24,88,65,4
W0004,2008,F,1994,15,SolitaryF,-22.874,4.06,96,63,4
W0005,1999,M,1999,1,WithMother,-22.932,5.44,45,46,4
W0006,1999,M,1999,1,WithMother,-23.222,4.73,32,40,4
W0007,1999,M,1999,1,WithMother,-23.212,4.76,38,43,4
W0008,1999,F,1999,1,WithMother,-23.392,4.65,32,40,4
W0009,1999,M,1999,1,WithMother,-23.182,5.83,37,39.5,4
W0010,1999,F,1999,1,WithMother,-23.262,5.23,30,38.5,4
W0010,2001,F,1999,3,SolitaryF,-22.328,4.36,75,51,7
W0010,2002,F,1999,4,SolitaryF,-22.496,4.18,117,57,9
W0010,2005,F,1999,7,WithCubs,-23.66,4.37,83,60,4
W0010,2007,F,1999,9,WithCubs,-22.766,3.7,81,58,4
W0011,1999,M,1999,1,WithMother,-23.272,5.21,32,39,4
W0012,1999,M,1991,9,SolitaryM,-23.082,5.64,233,77,4
W0012,2000,M,1991,10,SolitaryM,-23.23,5.04,212,77,4
W0012,2001,M,1991,11,SolitaryM,-23.478,5.9,195,76,6
W0012,2003,M,1991,13,SolitaryM,-23.574,5.85,230,77,4
W0012,2005,M,1991,15,SolitaryM,-23.44,6.36,224,80,4
W0012,2006,M,1991,16,SolitaryM,-23.278,5.92,204,80,4
W0012,2008,M,1991,18,SolitaryM,-23.214,6.56,NA,82,5
W0013,1999,M,1995,5,SolitaryM,-23.522,6.31,173,65,4
W0013,2000,M,1995,6,SolitaryM,-23.27,5.8,167,68.5,4
W0013,2001,M,1995,7,SolitaryM,-23.368,5.98,208,71,4
W0013,2007,M,1995,13,SolitaryM,-22.696,5.53,215,77,4
W0013,2008,M,1995,14,SolitaryM,-22.814,5.36,228,72,4
W0013,2009,M,1995,15,SolitaryM,-23.282,5.76,188,76,4
W0013,2010,M,1995,16,SolitaryM,-22.73,6.46,225,76,4
W0014,1999,M,1999,1,WithMother,-23.132,5.84,42,45,4
W0014,2000,M,1999,2,SolitaryM,-23.31,5.14,68,54,4
W0015,1999,F,1999,1,WithMother,-23.052,5.72,36,41.5,4
W0015,2002,F,1999,4,SolitaryF,-22.666,4.76,138,NA,9
W0015,2002,F,1999,4,SolitaryF,-22.786,4.79,138,NA,9
W0016,1999,M,1994,6,SolitaryM,-22.872,5.68,175,70,4
W0017,1999,M,1999,1,WithMother,-23.332,5.05,30,38,4
W0018,1999,F,1999,1,WithMother,-23.102,5.75,27,38,4
W0018,2002,F,1999,4,SolitaryF,-22.626,4.78,88,58,4
W0018,2004,F,1999,6,WithCubs,-23.172,4.27,82,58,4
W0018,2006,F,1999,8,WithCubs,-23.318,4.71,97,63,4
W0019,1999,F,1999,1,WithMother,-22.982,5.66,24,37,4
W0020,1999,F,1999,1,WithMother,-23.062,5.69,24,36,4
W0021,1999,F,1999,1,WithMother,-23.362,4.6,30,40,4
W0021,2002,F,1999,4,SolitaryF,-22.956,4.41,117,NA,9
W0021,2002,F,1999,4,SolitaryF,-23.356,4.59,117,NA,9
W0022,1999,M,1999,1,WithMother,-23.162,4.67,30,39,4
W0023,1999,M,1999,1,WithMother,-23.372,4.71,28,38,4
W0024,1999,M,1999,1,WithMother,-22.872,5.4,36,42,4
W0025,1999,F,1999,1,WithMother,-22.882,5.49,52,54,8
W0101,2000,M,1998,3,SolitaryM,-23.02,4.03,81,59,4
W0101,2003,M,1998,6,SolitaryM,-22.984,4.66,147,73,6
W0101,2007,M,1998,10,SolitaryM,-23.386,4.8,184,78,4
W0101,2008,M,1998,11,SolitaryM,-23.334,5,209,77,4
W0102,2000,M,1997,4,SolitaryM,-23,4.68,147,69,4
W0102,2001,M,1997,5,SolitaryM,-23.298,4.74,216,73,4
W0103,2000,M,1999,2,NA,-23.25,4.32,51,50,4
W0104,2000,F,2000,1,WithMother,-22.92,5.21,34,45,4
W0104,2002,F,2000,3,SolitaryF,-23.006,4.51,114,58,9
W0104,2005,F,2000,6,WithCubs,-23.06,4.36,77,59,4
W0104,2009,F,2000,10,WithCubs,-23.022,4.8,97,62,4
W0104,2011,F,2000,12,WithCubs,-23.078,4.33,78,60,5
W0104,2014,F,2000,15,WithCubs,-23.322,4.15,83.6,59,4
W0104,2015,F,2000,16,WithCubs,-23.49,4.4,102,59,5
W0105,2000,F,2000,1,WithMother,-22.9,5.72,35,45,4
W0106,2000,M,2000,1,WithMother,-23.07,5.57,26.5,42.5,4
W0107,2000,F,2000,1,WithMother,-22.8,5.49,28.5,44,4
W0107,2002,F,2000,3,SolitaryF,-22.476,4.47,101,61,9
W0107,2002,F,2000,3,SolitaryF,-22.786,5.1,101,61,9
W0107,2004,F,2000,5,SolitaryF,-22.992,5.07,79,59,4
W0107,2006,F,2000,7,WithCubs,-22.908,4.75,85,65,4
W0107,2008,F,2000,9,WithCubs,-22.874,4.45,97,66,4
W0108,2000,M,1990,11,SolitaryM,-22.98,4.47,218,77,4
W0108,2008,M,1990,19,SolitaryM,-23.014,4.75,NA,NA,13
W0109,2001,F,1994,8,WithCubs,-22.858,3.81,76,57,4
W0109,2003,F,1994,10,WithCubs,-23.514,3.93,87,62,4
W0110,2000,M,1998,3,SolitaryM,-23.38,3.59,65,52.5,4
W0111,2000,M,1994,7,SolitaryM,-23.05,4.65,174,70,4
W0112,2000,M,2000,1,WithMother,-22.89,4.93,22,40,4
W0113,2000,M,2000,1,WithMother,-23.19,4.79,20,39,4
W0114,2000,M,2000,1,WithMother,-23.13,4.64,19,38,4
W0115,2000,M,2000,1,WithMother,-23.22,4.4,26,41,4
W0116,2000,M,2000,1,WithMother,-23.36,5.34,28,42,4
W0117,2000,F,2000,1,WithMother,-22.06,5.64,18,39,4
W0118,2000,M,2000,1,WithMother,-23.15,4.88,22,39.5,4
W0119,2000,M,2000,1,WithMother,-23.09,4.86,26,39.5,4
W0120,2000,F,1999,2,NA,-23.37,3.71,41.5,48,5
W0120,2001,F,1999,3,SolitaryF,-23.138,4.12,58,52,4
W0120,2002,F,1999,4,SolitaryF,-22.786,3.7,80,60,5
W0121,2000,F,1986,15,NA,-22.86,4.42,93,62,5
W0122,2000,F,1994,7,NA,-23.03,4.08,87,60,5
W0201,2001,M,1998,4,SolitaryM,-23.158,4.38,113,66,4
W0201,2002,M,1998,5,SolitaryM,-23.176,4.54,142,72,6
W0201,2003,M,1998,6,SolitaryM,-23.394,4.98,196,78,6
W0202,2001,M,1996,6,SolitaryM,-23.458,4.99,160,70,4
W0203,2001,M,2001,1,NA,-22.898,4.26,13,37,4
W0204,2001,M,2001,1,NA,-22.808,4.56,21,40,4
W0205,2001,F,2001,1,WithMother,-23.168,5.06,18,38,4
W0206,2001,M,2001,1,WithMother,-23.098,4.91,21,39,4
W0207,2001,M,2001,1,WithMother,-22.998,5.19,26,42,4
W0208,2001,F,2001,1,WithMother,-23.048,3.9,17,38,4
W0208,2003,F,2001,3,SolitaryF,-23.244,3.92,50,49,4
W0208,2004,F,2001,4,SolitaryF,-22.962,3.95,65,53,5
W0209,2001,F,2001,1,WithMother,-22.948,4.3,16,37,4
W0209,2003,F,2001,3,SolitaryF,-23.084,4.45,61,52.5,4
W0209,2004,F,2001,4,SolitaryF,-23.312,4.94,71,56,4
W0209,2006,F,2001,6,WithCubs,-23.488,4.75,81,59,4
W0210,2001,M,2001,1,WithMother,-23.078,5.24,20,40,4
W0210,2009,M,2001,9,SolitaryM,-23.142,4.37,NA,NA,13
W0211,2001,M,2001,1,WithMother,-22.988,5.19,18.5,38,4
W0212,2001,F,2001,1,WithMother,-22.978,5.4,17,38,4
W0212,2004,F,2001,4,SolitaryF,-23.252,4.71,72,55,4
W0212,2005,F,2001,5,SolitaryF,-23.37,5.16,93,60,4
W0212,2006,F,2001,6,SolitaryF,-23.588,5.09,81,59,5
W0213,2001,M,2001,1,WithMother,-23.088,4.69,24,42.5,4
W0214,2001,F,2001,1,WithMother,-23.148,4.72,27,41.5,4
W0215,2001,M,2001,1,WithMother,-23.048,5.1,14,37,4
W0216,2001,M,2001,1,WithMother,-23.208,4.67,15,NA,4
W0217,2001,F,2001,1,WithMother,-23.078,4.72,10,35.5,4
W0217,2003,F,2001,3,SolitaryF,-23.404,4.22,45,46,4
W0217,2004,F,2001,4,SolitaryF,-24.012,4.21,53,53,4
W0217,2005,F,2001,5,SolitaryF,-23.57,4.66,NA,NA,13
W0217,2006,F,2001,6,NA,-23.328,5.31,NA,NA,5
W0217,2007,F,2001,7,SolitaryF,-22.856,4.77,105,60,8
W0217,2010,F,2001,10,WithCubs,-23.18,4.5,68,57,4
W0217,2012,F,2001,12,WithCubs,-23.296,4.69,79,59,5
W0219,2001,F,2001,1,WithMother,-23.338,4.73,24,42,4
W0219,2004,F,2001,4,SolitaryF,-23.622,4.81,78,59,4
W0219,2009,F,2001,9,SolitaryF,-23.742,4.9,84,63,5
W0219,2010,F,2001,10,WithCubs,-23.48,4.58,80,61,4
W0219,2015,F,2001,15,NA,-24.07,4.9,123,63,5
W0220,2001,M,2001,1,WithMother,-23.368,4.59,25,40,4
W0221,2001,F,2001,1,WithMother,-23.288,4.46,23,40,4
W0221,2004,F,2001,4,SolitaryF,-23.122,3.95,76,59,4
W0222,2001,M,2001,1,WithMother,-23.258,4.42,23,41.5,4
W0222,2004,M,2001,4,SolitaryM,-23.182,4.49,73,57,4
W0223,2001,F,2001,1,WithMother,-23.148,4.7,21,40,4
W0224,2001,M,1999,3,SolitaryM,-22.548,4.6,60,NA,4
W0225,2001,M,1997,5,SolitaryM,-23.158,4.41,152,70,5
W0226,2001,M,1991,11,SolitaryM,-22.908,5.07,157,75,5
W0226,2002,M,1991,12,SolitaryM,-22.616,5.02,168,74,6
W0227,2001,F,1995,7,NA,-22.878,4.58,89,57.5,5
W0228,2001,M,1998,4,SolitaryM,-22.868,4.37,88,58,5
W0228,2007,M,1998,10,SolitaryM,-22.976,5.26,135,71,4
W0228,2008,M,1998,11,SolitaryM,-23.674,4.63,182,72,4
W0229,2001,F,1998,4,NA,-22.998,4.92,72,55,5
W0229,2003,F,1998,6,SolitaryF,-22.774,4.65,98,60,4
W0229,2004,F,1998,7,SolitaryF,-22.882,4.81,92,58,4
W0229,2005,F,1998,8,WithCubs,-23.07,4.34,89,60,4
W0229,2008,F,1998,11,WithCubs,-22.864,4.3,98,64.5,4
W0230,2002,M,1998,5,SolitaryM,-23.336,5.26,207,72,9
W0230,2002,M,1998,5,SolitaryM,-23.626,5.96,207,72,9
W0231,2001,F,1992,10,NA,-22.978,4.87,98,62,6
W0231,2003,F,1992,12,WithCubs,-23.734,4.61,98,65,4
W0231,2007,F,1992,16,WithCubs,-23.126,4.6,88,65,4
W0231,2008,F,1992,17,WithCubs,-22.894,4.86,83,67,4
W0232,2001,M,1995,7,SolitaryM,-22.908,5.77,125,66,6
W0233,2001,M,1995,7,SolitaryM,-23.128,4.94,170,72,6
W0233,2003,M,1995,9,SolitaryM,-23.364,5.17,88,74,4
W0234,2001,F,1999,3,NA,-23.038,4.59,67,54,6
W0234,2003,F,1999,5,WithCubs,-23.424,4.15,74,56,4
W0235,2001,M,1998,4,SolitaryM,-23.278,5.35,85,61,6
W0235,2002,M,1998,5,SolitaryM,-23.336,4.44,111,65,7
W0235,2003,M,1998,6,SolitaryM,-23.464,5.22,122,70,6
W0236,2001,F,1999,3,NA,-22.828,4.19,67,53,6
W0236,2004,F,1999,6,WithCubs,-23.172,3.64,91,59,4
W0237,2001,F,1997,5,NA,-22.918,4.43,86,60,6
W0237,2003,F,1997,7,WithCubs,-23.064,3.82,93,61,4
W0237,2005,F,1997,9,NA,-22.95,4.27,95,62.5,5
W0237,2007,F,1997,11,WithCubs,-22.976,4.01,120,64,8
W0237,2009,F,1997,13,WithCubs,-22.872,3.49,90,60.5,4
W0238,2001,F,1986,16,NA,-22.738,3.99,82,61,6
W0301,2002,M,2002,1,WithMother,-23.566,5.28,14,35,4
W0302,2002,M,2002,1,WithMother,-23.186,5.1,26,41,4
W0303,2002,F,2002,1,WithMother,-23.216,5.52,18,38,4
W0303,2004,F,2002,3,SolitaryF,-23.292,4.14,49,49,4
W0303,2006,F,2002,5,SolitaryF,-22.728,4.67,NA,58,7
W0303,2010,F,2002,9,WithCubs,-22.4,4.62,74,56,4
W0303,2012,F,2002,11,WithCubs,-23.066,4.2,80,61,4
W0304,2002,F,2002,1,WithMother,-23.076,4.8,29,NA,4
W0305,2002,F,2002,1,WithMother,-23.066,4.79,24,NA,4
W0306,2002,F,2002,1,WithMother,-22.956,4.99,24.5,NA,4
W0307,2002,M,2000,3,SolitaryM,-23.236,4.65,55,56,4
