BearID,year.represent,sex,birth,age,reprostatus.represent,C13,N15,weight,headcirc,Cmonth,Prop_Ants,Prop_Moose,Prop_BilBerry
W9208,1995,F,1991,5,SolitaryF,-22.02,4.58,101,61.5,4,0.033,0.028,0.495
W9306,1995,F,1992,4,SolitaryF,-22.18,4.36,90,58,7,0.033,0.028,0.495
W9307,1995,F,1992,4,SolitaryF,-22.39,4.47,70,55,4,0.033,0.028,0.495
W9308,1995,F,1988,8,SolitaryF,-22.15,5.17,109,63,7,0.033,0.028,0.495
W9310,1995,F,1992,4,SolitaryF,-22.39,4.68,85,59,4,0.033,0.028,0.495
W9403,1995,F,1993,3,SolitaryF,-22.69,3.96,52,50,4,0.033,0.028,0.495
W9404,1995,F,1993,3,SolitaryF,-22.23,3.73,68,53,4,0.033,0.028,0.495
W9503,1995,F,1994,2,SolitaryF,NA,NA,42,47.5,4,0.033,0.028,0.495
W9504,1995,F,1994,2,SolitaryF,-22.36,4.52,35,46.5,5,0.033,0.028,0.495
W9507,1995,F,1994,2,SolitaryF,-22.76,3.64,28,42,4,0.033,0.028,0.495
W9511,1995,F,1985,11,SolitaryF,-22.06,4.23,99,62,7,0.033,0.028,0.495
W8808,1996,F,1981,16,SolitaryF,-22.34,4.19,111,62,7,0.049,0.043,0.489
W8905,1996,F,1987,10,SolitaryF,-22.44,4.98,90,58,6,0.049,0.043,0.489
W9101,1996,F,1990,7,SolitaryF,-22.38,4.66,80,55,4,0.049,0.043,0.489
W9307,1996,F,1992,5,SolitaryF,-22.7,4.79,63,57,4,0.049,0.043,0.489
W9402,1996,F,1993,4,SolitaryF,-22.35,5.73,79,55,7,0.049,0.043,0.489
W9403,1996,F,1993,4,SolitaryF,-22.14,4.55,77,54,4,0.049,0.043,0.489
W9404,1996,F,1993,4,SolitaryF,-22.45,4.23,83.5,56,6,0.049,0.043,0.489
W9504,1996,F,1994,3,SolitaryF,-22.38,4.8,76,NA,6,0.049,0.043,0.489
W9507,1996,F,1994,3,SolitaryF,-22.3,4.36,43,44,4,0.049,0.043,0.489
W9601,1996,F,1995,2,SolitaryF,-22.21,5.13,41,46,4,0.049,0.043,0.489
W9602,1996,F,1995,2,SolitaryF,-21.86,5.12,45,45,4,0.049,0.043,0.489
W9502,1997,F,1994,4,SolitaryF,NA,NA,90,60,4,0.058,0.055,0.503
