Year,Source,Mean,SD,LCI,UCI
global,Ants,0.035,0.017,0.006,0.072
global,Bilberry,0.537,0.087,0.381,0.723
global,Crowberry,0.271,0.082,0.108,0.436
global,Lingonberry,0.129,0.064,0.017,0.265
global,Moose,0.028,0.014,0.007,0.06
1995,Ants,0.024,0.013,0.004,0.054
1996,Ants,0.057,0.033,0.007,0.127
1997,Ants,0.027,0.014,0.005,0.058
1998,Ants,0.041,0.022,0.007,0.091
1999,Ants,0.044,0.024,0.007,0.096
2000,Ants,0.045,0.026,0.007,0.102
2001,Ants,0.031,0.016,0.006,0.066
2002,Ants,0.031,0.016,0.006,0.065
2003,Ants,0.025,0.013,0.004,0.054
2004,Ants,0.026,0.014,0.005,0.057
2005,Ants,0.035,0.019,0.005,0.077
2006,Ants,0.042,0.024,0.005,0.096
2007,Ants,0.031,0.016,0.005,0.064
2008,Ants,0.036,0.019,0.006,0.078
2009,Ants,0.03,0.016,0.005,0.063
2010,Ants,0.04,0.021,0.007,0.083
2011,Ants,0.036,0.02,0.006,0.082
2012,Ants,0.037,0.021,0.005,0.085
2013,Ants,0.029,0.016,0.005,0.064
2014,Ants,0.038,0.021,0.005,0.085
2015,Ants,0.032,0.019,0.004,0.076
2016,Ants,0.027,0.015,0.005,0.06
2017,Ants,0.028,0.014,0.004,0.059
2018,Ants,0.033,0.017,0.006,0.069
2019,Ants,0.037,0.02,0.005,0.083
2020,Ants,0.031,0.017,0.005,0.069
1995,Bilberry,0.58,0.129,0.304,0.812
1996,Bilberry,0.496,0.101,0.306,0.701
1997,Bilberry,0.514,0.116,0.295,0.753
1998,Bilberry,0.46,0.118,0.239,0.704
1999,Bilberry,0.505,0.105,0.304,0.712
2000,Bilberry,0.498,0.113,0.284,0.735
2001,Bilberry,0.533,0.105,0.335,0.743
2002,Bilberry,0.501,0.106,0.3,0.716
2003,Bilberry,0.622,0.103,0.418,0.824
2004,Bilberry,0.562,0.111,0.347,0.787
2005,Bilberry,0.598,0.094,0.416,0.782
2006,Bilberry,0.565,0.097,0.379,0.75
2007,Bilberry,0.459,0.104,0.271,0.68
2008,Bilberry,0.497,0.102,0.31,0.704
2009,Bilberry,0.535,0.113,0.313,0.76
2010,Bilberry,0.418,0.099,0.241,0.632
2011,Bilberry,0.532,0.114,0.314,0.755
2012,Bilberry,0.627,0.097,0.432,0.814
2013,Bilberry,0.61,0.101,0.408,0.805
2014,Bilberry,0.584,0.109,0.369,0.793
2015,Bilberry,0.727,0.083,0.557,0.876
2016,Bilberry,0.589,0.111,0.371,0.807
2017,Bilberry,0.218,0.129,0.084,0.763
2018,Bilberry,0.414,0.102,0.229,0.637
2019,Bilberry,0.524,0.136,0.237,0.775
2020,Bilberry,0.581,0.115,0.355,0.798
1995,Crowberry,0.263,0.123,0.061,0.536
1996,Crowberry,0.255,0.097,0.085,0.458
1997,Crowberry,0.296,0.114,0.084,0.532
1998,Crowberry,0.318,0.121,0.089,0.562
1999,Crowberry,0.266,0.107,0.083,0.493
2000,Crowberry,0.271,0.108,0.083,0.51
2001,Crowberry,0.267,0.102,0.081,0.488
2002,Crowberry,0.276,0.112,0.082,0.507
2003,Crowberry,0.225,0.095,0.061,0.428
2004,Crowberry,0.27,0.107,0.07,0.49
2005,Crowberry,0.22,0.084,0.075,0.398
2006,Crowberry,0.23,0.087,0.076,0.411
2007,Crowberry,0.302,0.116,0.092,0.54
2008,Crowberry,0.273,0.105,0.083,0.489
2009,Crowberry,0.269,0.11,0.073,0.502
2010,Crowberry,0.358,0.108,0.129,0.564
2011,Crowberry,0.262,0.105,0.076,0.482
2012,Crowberry,0.198,0.084,0.061,0.384
2013,Crowberry,0.218,0.091,0.066,0.416
2014,Crowberry,0.229,0.096,0.064,0.434
2015,Crowberry,0.141,0.065,0.04,0.286
2016,Crowberry,0.251,0.105,0.064,0.479
