Year,Source,Mean,SD,LCI,UCI
global,Ants,0.04,0.021,0.006,0.087
global,Bilberry,0.533,0.089,0.368,0.723
global,Crowberry,0.234,0.071,0.109,0.387
global,Lingonberry,0.157,0.067,0.025,0.293
global,Moose,0.037,0.018,0.008,0.078
1995,Ants,0.033,0.018,0.004,0.072
1996,Ants,0.049,0.028,0.005,0.108
1997,Ants,0.058,0.039,0.004,0.151
1998,Ants,0.06,0.041,0.005,0.157
1999,Ants,0.054,0.034,0.005,0.131
2000,Ants,0.038,0.024,0.004,0.092
2001,Ants,0.036,0.02,0.004,0.081
2002,Ants,0.04,0.023,0.005,0.088
2003,Ants,0.035,0.021,0.004,0.083
2004,Ants,0.033,0.02,0.003,0.079
2005,Ants,0.042,0.027,0.004,0.102
2006,Ants,0.043,0.026,0.004,0.102
2007,Ants,0.039,0.022,0.005,0.088
2008,Ants,0.027,0.015,0.003,0.06
2009,Ants,0.032,0.019,0.003,0.073
2010,Ants,0.038,0.021,0.005,0.084
2011,Ants,0.042,0.025,0.005,0.094
2012,Ants,0.046,0.028,0.004,0.108
2013,Ants,0.032,0.02,0.003,0.076
2014,Ants,0.048,0.034,0.004,0.128
2015,Ants,0.043,0.029,0.003,0.108
2016,Ants,0.026,0.014,0.003,0.059
2017,Ants,0.036,0.02,0.004,0.079
2018,Ants,0.039,0.023,0.004,0.086
2019,Ants,0.028,0.016,0.003,0.065
2020,Ants,0.031,0.019,0.003,0.072
1995,Bilberry,0.495,0.107,0.288,0.712
1996,Bilberry,0.489,0.099,0.301,0.687
1997,Bilberry,0.503,0.145,0.208,0.772
1998,Bilberry,0.483,0.135,0.206,0.739
1999,Bilberry,0.44,0.123,0.205,0.681
2000,Bilberry,0.494,0.138,0.232,0.769
2001,Bilberry,0.413,0.118,0.198,0.657
2002,Bilberry,0.445,0.104,0.248,0.657
2003,Bilberry,0.597,0.113,0.367,0.816
2004,Bilberry,0.644,0.103,0.437,0.85
2005,Bilberry,0.618,0.108,0.402,0.825
2006,Bilberry,0.577,0.102,0.38,0.783
2007,Bilberry,0.506,0.103,0.306,0.713
2008,Bilberry,0.571,0.099,0.393,0.772
2009,Bilberry,0.607,0.1,0.417,0.813
2010,Bilberry,0.409,0.106,0.211,0.632
2011,Bilberry,0.544,0.101,0.349,0.75
2012,Bilberry,0.587,0.1,0.388,0.788
2013,Bilberry,0.672,0.094,0.486,0.86
2014,Bilberry,0.641,0.132,0.326,0.857
2015,Bilberry,0.538,0.241,0.122,0.892
2016,Bilberry,0.553,0.119,0.317,0.79
2017,Bilberry,0.26,0.093,0.099,0.45
2018,Bilberry,0.185,0.071,0.067,0.345
2019,Bilberry,0.58,0.116,0.347,0.807
2020,Bilberry,0.67,0.092,0.496,0.854
1995,Crowberry,0.221,0.102,0.059,0.443
1996,Crowberry,0.201,0.09,0.062,0.406
1997,Crowberry,0.238,0.123,0.055,0.527
1998,Crowberry,0.224,0.111,0.058,0.486
1999,Crowberry,0.243,0.11,0.071,0.495
2000,Crowberry,0.24,0.116,0.061,0.505
2001,Crowberry,0.286,0.122,0.08,0.538
2002,Crowberry,0.236,0.103,0.067,0.46
2003,Crowberry,0.188,0.091,0.048,0.405
2004,Crowberry,0.173,0.083,0.044,0.364
2005,Crowberry,0.177,0.087,0.047,0.381
2006,Crowberry,0.199,0.085,0.06,0.387
2007,Crowberry,0.207,0.093,0.059,0.422
2008,Crowberry,0.224,0.091,0.062,0.412
2009,Crowberry,0.183,0.084,0.046,0.369
2010,Crowberry,0.251,0.113,0.067,0.496
2011,Crowberry,0.187,0.083,0.053,0.375
2012,Crowberry,0.176,0.08,0.052,0.357
2013,Crowberry,0.155,0.074,0.038,0.323
2014,Crowberry,0.168,0.103,0.035,0.444
2015,Crowberry,0.305,0.219,0.026,0.713
2016,Crowberry,0.239,0.108,0.06,0.473
2017,Crowberry,0.567,0.101,0.375,0.76
2018,Crowberry,0.654,0.085,0.473,0.808
2019,Crowberry,0.24,0.106,0.057,0.464
2020,Crowberry,0.148,0.068,0.04,0.299
1995,Lingonberry,0.222,0.117,0.022,0.454
1996,Lingonberry,0.219,0.107,0.025,0.432
1997,Lingonberry,0.147,0.095,0.019,0.393
1998,Lingonberry,0.176,0.112,0.022,0.459
1999,Lingonberry,0.214,0.121,0.024,0.48
2000,Lingonberry,0.194,0.119,0.02,0.476
