Year,Source,Mean,SD,LCI,UCI
1995,Ants,0.039,0.032,0.002,0.122
1995,Bilberry,0.503,0.132,0.279,0.784
1995,Crowberry,0.339,0.179,0.006,0.613
1995,Lingonberry,0.062,0.093,0.001,0.393
1995,Moose,0.058,0.028,0.014,0.124
1996,Ants,0.051,0.041,0.002,0.152
1996,Bilberry,0.594,0.094,0.416,0.784
1996,Crowberry,0.219,0.119,0.006,0.429
1996,Lingonberry,0.054,0.07,0.001,0.284
1996,Moose,0.082,0.037,0.016,0.162
1997,Ants,0.051,0.041,0.002,0.156
1997,Bilberry,0.555,0.1,0.377,0.772
1997,Crowberry,0.253,0.133,0.006,0.479
1997,Lingonberry,0.061,0.08,0.001,0.323
1997,Moose,0.08,0.037,0.018,0.162
1998,Ants,0.056,0.045,0.002,0.168
1998,Bilberry,0.553,0.099,0.374,0.765
1998,Crowberry,0.24,0.127,0.006,0.457
1998,Lingonberry,0.06,0.076,0.001,0.304
1998,Moose,0.092,0.043,0.018,0.188
1999,Ants,0.057,0.049,0.003,0.181
1999,Bilberry,0.603,0.081,0.457,0.776
1999,Crowberry,0.184,0.098,0.006,0.358
1999,Lingonberry,0.05,0.062,0.001,0.249
1999,Moose,0.105,0.046,0.019,0.198
2000,Ants,0.045,0.036,0.002,0.13
2000,Bilberry,0.572,0.099,0.398,0.783
2000,Crowberry,0.257,0.134,0.006,0.477
2000,Lingonberry,0.061,0.082,0.001,0.323
2000,Moose,0.066,0.03,0.014,0.137
2001,Ants,0.051,0.041,0.002,0.153
2001,Bilberry,0.59,0.091,0.416,0.779
2001,Crowberry,0.224,0.119,0.006,0.436
2001,Lingonberry,0.052,0.067,0.001,0.268
2001,Moose,0.083,0.036,0.018,0.158
2002,Ants,0.043,0.034,0.002,0.127
2002,Bilberry,0.54,0.109,0.357,0.778
2002,Crowberry,0.291,0.151,0.006,0.528
2002,Lingonberry,0.062,0.086,0.001,0.349
2002,Moose,0.063,0.029,0.015,0.129
2003,Ants,0.043,0.035,0.002,0.13
