Modnames,K,Delta_AICc,ModelLik,AICcWt,1.11,param,beta,SE,LCI,UCI
"Age times sex, Lbilberry",8,0.00,1.00,0.90,,,,,,
,,,,,,int,-0.47,0.19,-0.84,-0.10
,,,,,,Age,0.14,0.06,0.02,0.26
,,,,,,sex (m),1.21,0.31,0.61,1.81
,,,,,,bilberry lag,-0.18,0.03,-0.24,-0.12
,,,,,,age*male,0.57,0.09,0.38,0.75
"Age times sex, Lbilberry, LmooseHarv",9,4.34,0.11,0.10,,,,,,
"Age times sex, LmooseHarv",8,17.99,0.00,0.00,,,,,,
Age times sex,7,24.42,0.00,0.00,,,,,,
"Age times sex, bilberry with lagged data",8,30.74,0.00,0.00,,,,,,
"Age times sex, bilberry, mooseHarv with lagged data",9,37.43,0.00,0.00,,,,,,
age plus sex,6,50.43,0.00,0.00,,,,,,
Age,5,53.13,0.00,0.00,,,,,,
Lagged Bilberry Index,5,79.21,0.00,0.00,,,,,,
Lagged Moose Harvest,5,97.24,0.00,0.00,,,,,,
Intercept,4,100.83,0.00,0.00,,,,,,
Lagged Moose Observation,5,103.23,0.00,0.00,,,,,,
Lagged Calf Observation,5,104.78,0.00,0.00,,,,,,
