"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"9","Age times sex, Lbilberry",8,820.449883269955,0,1,0.896153492758056,-402.032428265994,0.896153492758056
"10","Age times sex, Lbilberry, LmooseHarv",9,824.760376782928,4.3104935129727,0.115874594277117,0.103841422383361,-403.138901528193,0.999994915141417
"8","Age times sex",7,844.609088558269,24.1592052883141,5.67407703880736e-06,5.08484395650551e-06,-415.155210945801,0.999999999985374
"7","age plus sex",6,870.826940985661,50.3770577157055,1.1501670182397e-11,1.03072619065063e-11,-429.301768365171,0.999999999995681
"6","Age",5,872.566669224017,52.1167859540616,4.8192973474467e-12,4.318830150554e-12,-431.203759015192,1
"5","Lagged Bilberry Index",5,901.959286179326,81.5094029093704,1.99736781092148e-18,1.7899481400798e-18,-445.900067492846,1
"2","Lagged Moose Harvest",5,918.72367166675,98.273788396795,4.57212390991511e-22,4.09732481119304e-22,-454.282260236558,1
"1","Intercept",4,922.461487896155,102.0116046262,7.05442321001254e-23,6.32184599904624e-23,-457.177833895168,1
"4","Lagged Moose Observation",5,924.599957836754,104.150074566799,2.42157911799956e-23,2.17010658458528e-23,-457.22040332156,1
"3","Lagged Calf Observation",5,926.18830683054,105.738423560585,1.09444278168135e-23,9.80788721427589e-24,-458.014577818453,1
