BearID,year,reprostatus.represent,C13.suess,N15,AnnualMean.13C,
W9208,1995,SolitaryF,-22.57,4.58,-22.873,4.334
W9306,1995,SolitaryF,-22.73,4.36,,
W9307,1995,SolitaryF,-22.94,4.47,,
W9308,1995,SolitaryF,-22.7,5.17,,
W9310,1995,SolitaryF,-22.94,4.68,,
W9403,1995,SolitaryF,-23.24,3.96,,
W9404,1995,SolitaryF,-22.78,3.73,,
W9504,1995,SolitaryF,-22.91,4.52,,
W9507,1995,SolitaryF,-23.31,3.64,,
W9511,1995,SolitaryF,-22.61,4.23,,
W8807,1995,SolitaryM,-22.88,5.06,-22.97222222,4.647777778
W9006,1995,SolitaryM,-22.87,5.84,,
W9202,1995,SolitaryM,-22.58,5.37,,
W9311,1995,SolitaryM,-22.69,4.42,,
W9401,1995,SolitaryM,-22.78,4.95,,
W9407,1995,SolitaryM,-22.9,3.74,,
W9505,1995,SolitaryM,-23.06,5.21,,
W9508,1995,SolitaryM,-23.67,3.84,,
W9510,1995,SolitaryM,-23.32,3.4,,
W8808,1995,WithCubs,-23.1,3.92,-23.142,3.94
W8811,1995,WithCubs,-22.73,4.69,,
W8905,1995,WithCubs,-22.77,4.29,,
W9008,1995,WithCubs,-23.56,3.26,,
W9207,1995,WithCubs,-23.55,3.54,,
W9602,1995,WithMother,-23.03,4.86,-23.43454545,4.489090909
W9603,1995,WithMother,-23.24,5.11,,
W9606,1995,WithMother,-23.77,4.67,,
W9607,1995,WithMother,-23.67,4.54,,
W9608,1995,WithMother,-23.86,3.79,,
W9609,1995,WithMother,-23.72,3.87,,
W9610,1995,WithMother,-23.7,3.99,,
W9612,1995,WithMother,-23.27,4.8,,
W9613,1995,WithMother,-23.48,4.44,,
W9614,1995,WithMother,-22.98,4.83,,
W9615,1995,WithMother,-23.06,4.48,,
W8808,1996,SolitaryF,-22.868,4.19,-22.85072727,4.776363636
W8905,1996,SolitaryF,-22.968,4.98,,
W9101,1996,SolitaryF,-22.908,4.66,,
W9307,1996,SolitaryF,-23.228,4.79,,
W9402,1996,SolitaryF,-22.878,5.73,,
W9403,1996,SolitaryF,-22.668,4.55,,
W9404,1996,SolitaryF,-22.978,4.23,,
W9504,1996,SolitaryF,-22.908,4.8,,
W9507,1996,SolitaryF,-22.828,4.36,,
W9601,1996,SolitaryF,-22.738,5.13,,
